"Host_code" "clust_smb_quad_plant" "clust_smb_quad_virus" "Grid_code" "clus_famd_grid_env" "Collection_date"
"353" "22_CAM_200200" 5 2 "22_CAM_20" "3" "2022-06-03"
"354" "22_CAM_200300" 5 2 "22_CAM_20" "3" "2022-05-18"
"355" "22_CAM_200400" 5 2 "22_CAM_20" "3" "2022-05-18"
"356" "22_CAM_200500" 5 2 "22_CAM_20" "3" "2022-05-16"
"357" "22_CAM_200600" 5 2 "22_CAM_20" "3" "2022-05-16"
"358" "22_CAM_200700" 5 2 "22_CAM_20" "3" "2022-06-03"
"359" "22_CAM_200800" 5 2 "22_CAM_20" "3" "2022-06-03"
"360" "22_CAM_200900" 5 2 "22_CAM_20" "3" "2022-05-18"
"361" "22_CAM_210100" 5 2 "22_CAM_21" "3" "2022-05-18"
"362" "22_CAM_210200" 5 2 "22_CAM_21" "3" "2022-05-16"
"363" "22_CAM_210300" 5 2 "22_CAM_21" "3" "2022-06-03"
"364" "22_CAM_210400" 5 2 "22_CAM_21" "3" "2022-05-18"
"365" "22_CAM_210500" 5 2 "22_CAM_21" "3" "2022-05-18"
"366" "22_CAM_210600" 5 2 "22_CAM_21" "3" "2022-05-16"
"367" "22_CAM_210700" 5 2 "22_CAM_21" "3" "2022-06-03"
"368" "22_CAM_210800" 5 2 "22_CAM_21" "3" "2022-05-18"
"369" "22_CAM_210900" 5 2 "22_CAM_21" "3" "2022-05-16"
