"Host_code" "clust_smb_quad_plant" "clust_smb_quad_virus" "Grid_code" "clus_famd_grid_env" "Collection_date"
"81" "21_CAM_040900" 5 2 "21_CAM_04" "3" "2021-06-21"
"82" "21_CAM_050100" 6 1 "21_CAM_05" "3" "2021-06-21"
"83" "21_CAM_050200" 6 2 "21_CAM_05" "3" "2021-06-08"
"84" "21_CAM_050300" 6 2 "21_CAM_05" "3" "2021-06-08"
"85" "21_CAM_050400" 5 2 "21_CAM_05" "3" "2021-05-25"
"86" "21_CAM_050500" 6 1 "21_CAM_05" "3" "2021-05-25"
"87" "21_CAM_050600" 6 2 "21_CAM_05" "3" "2022-04-14"
"88" "21_CAM_050700" 6 2 "21_CAM_05" "3" "2022-04-14"
"89" "21_CAM_050800" 6 2 "21_CAM_05" "3" "2022-04-14"
"90" "21_CAM_050900" 6 1 "21_CAM_05" "3" "2022-05-12"
"91" "21_CAM_060100" 6 1 "21_CAM_06" "3" "2022-05-12"
"92" "21_CAM_060200" 6 2 "21_CAM_06" "3" "2022-05-12"
"93" "21_CAM_060300" 6 1 "21_CAM_06" "3" "2022-05-12"
"94" "21_CAM_060400" 6 1 "21_CAM_06" "3" "2022-05-11"
"95" "21_CAM_060500" 6 2 "21_CAM_06" "3" "2022-05-11"
"96" "21_CAM_060600" 6 2 "21_CAM_06" "3" "2022-04-25"
"97" "21_CAM_060700" 6 2 "21_CAM_06" "3" "2022-04-14"
"98" "21_CAM_060800" 6 1 "21_CAM_06" "3" "2022-05-12"
"99" "21_CAM_060900" 6 1 "21_CAM_06" "3" "2022-05-12"
"100" "21_CAM_070100" 5 1 "21_CAM_07" "3" "2022-05-12"
"101" "21_CAM_070200" 5 1 "21_CAM_07" "3" "2022-05-12"
"102" "21_CAM_070300" 5 1 "21_CAM_07" "3" "2022-05-12"
"103" "21_CAM_070400" 5 1 "21_CAM_07" "3" "2022-05-11"
"104" "21_CAM_070500" 5 2 "21_CAM_07" "3" "2022-04-25"
"105" "21_CAM_070600" 5 2 "21_CAM_07" "3" "2022-04-14"
"106" "21_CAM_070700" 5 1 "21_CAM_07" "3" "2022-05-12"
"107" "21_CAM_070800" 5 1 "21_CAM_07" "3" "2022-05-12"
