"Grid_code" "buffer_size" "wetland" "non_emitting" "natural_landscape" "cultivated" "artificial"
"1" "20_CAM_01" 1500 72.7179842458749 16.5744011516344 6.54043882212949 4.13644428759506 0.030731492766124
"2" "20_CAM_02" 1500 72.5416184289327 17.2189566121809 6.05455715145649 4.14114395695278 0.0437238504771155
"3" "20_CAM_03" 1500 72.7894158577814 16.9383613135736 6.09384168828648 4.13896101566292 0.0394201246956224
"4" "20_CAM_04" 1500 72.3118821906392 17.8148361112118 5.64563208020315 4.14288707584778 0.0847625420981069
"5" "20_CAM_05" 1500 71.0779211433508 19.8205393339565 4.8704936940472 4.1436465962135 0.087399232431929
"6" "21_CAM_01" 1500 31.6876012655822 7.96392151116482 25.0589255296778 34.2527274987975 1.03682419477777
"7" "21_CAM_02" 1500 24.5810136035878 7.64559825281678 24.2328936276997 42.1882416398046 1.35225287609113
"8" "21_CAM_03" 1500 68.7917186952861 24.5167426116548 5.53473312546508 1.0913470152972 0.0654585522967955
"9" "21_CAM_04" 1500 26.3308998529605 11.4082858586946 19.1478321788147 42.2489172173672 0.864064892162926
"10" "21_CAM_05" 1500 31.5396649496579 11.5385202915608 14.6833890623744 41.7267757071148 0.511649989292028
"11" "21_CAM_06" 1500 31.8889751991094 10.9773049419139 8.38469268252298 48.6174370891698 0.131590087283946
"12" "21_CAM_07" 1500 21.0664824191545 5.4055223940945 8.09246205049968 65.1345615271238 0.300971609127549
"13" "21_CAM_08" 1500 1.78717284732422 14.3805171974695 24.6554457121882 56.7434059310637 2.43345831195438
"14" "21_CAM_09" 1500 1.71081095120442 14.4947171903409 21.8209846240024 59.3701496499325 2.60333758451978
"15" "21_CAM_10" 1500 46.8260248086989 21.2550783342108 26.9624040648809 3.46085582440214 1.49563696780729
"16" "21_CAM_11" 1500 47.5715920407961 22.3614658192682 25.2392544119323 3.33680940071007 1.49087832729332
"17" "21_CAM_12" 1500 2.10940213091258 10.6051221421726 19.221779779093 66.2727309516421 1.79096499617966
"18" "21_CAM_13" 1500 2.08589628887931 9.92836541831135 20.6738046539946 65.5212352415217 1.79069839729305
"19" "21_CAM_16" 1500 5.05351668625058 89.5874616855491 5.35902162820031 0 0
"20" "21_CAM_17" 1500 11.806886038073 69.238056726013 18.0592990356084 0 0.89575820030564
"21" "21_CAM_18" 1500 60.2455739314092 14.1611401145461 17.7548494818406 6.46412047814237 1.37431599406173
"22" "22_CAM_01" 1500 58.1010507467256 17.5540689681989 11.9320754275305 12.0707986475919 0.342006209953141
"23" "22_CAM_02" 1500 57.9704125053185 17.4623561797095 12.1358716161217 12.1017842847 0.32957541415023
"24" "22_CAM_03" 1500 67.399608361057 10.4780652978914 8.42379040318213 13.6985359378695 0
"25" "22_CAM_04" 1500 66.3899648324441 10.9074836828752 8.51735670181564 14.1843304235 0.000864359365073343
"26" "22_CAM_05" 1500 52.1446714096944 23.2862817870734 22.3020800069066 0.794867188429731 1.47209960789586
"27" "22_CAM_06" 1500 57.7843861443729 13.2758348289658 9.52138355679627 19.3673512852787 0.0510441845863249
"28" "22_CAM_07" 1500 47.2747297640822 17.5044602728941 14.4095661236269 20.0716810792113 0.739562760185488
"29" "22_CAM_08" 1500 1.3433780222824 15.3237796604193 21.3378104659015 59.2697308242424 2.72530102715447
"30" "22_CAM_09" 1500 1.42025262727052 15.00301875354 23.4252978317609 57.5597417702526 2.59168901717602
"31" "22_CAM_10" 1500 54.104976130232 23.0619246756676 20.926509490006 0.439004503597291 1.46758520049713
"32" "22_CAM_11" 1500 52.8503164809076 20.9672988238255 24.0273365226677 0.675647062503804 1.47940111009541
"33" "22_CAM_12" 1500 15.2451349837129 59.8288849149501 23.1374403585194 0 1.78853974281761
"34" "22_CAM_13" 1500 15.448118342176 59.3771585494093 23.3164944697842 0 1.8582286386305
"35" "22_CAM_14" 1500 15.2107628229794 57.1996386261242 25.5528245584504 0 2.03677399244594
"36" "22_CAM_15" 1500 15.3616842307314 56.9248585876004 25.7455024650433 0 1.96795471662493
"37" "22_CAM_16" 1500 46.369792339135 6.06907330097384 9.5661351228868 37.8315964755334 0.163402761471017
"38" "22_CAM_17" 1500 46.2830425623162 4.6818222607623 9.49168388802318 39.3830545071336 0.160396781764722
"39" "22_CAM_18" 1500 19.9802670581923 7.26337180750817 9.48161072399383 62.2670796592977 1.00767075100799
"40" "22_CAM_19" 1500 18.1136803154403 2.97493833399698 8.45319860486914 69.4073332483948 1.05084949729872
"41" "22_CAM_20" 1500 63.0235438567134 21.3921663050256 12.0221030051747 3.51943318034279 0.0427536527434454
"42" "22_CAM_21" 1500 64.0060361027675 21.799838392733 11.3551232734612 2.79633325623358 0.042668974804686
