"Host_code" "Viral_richness" "Plant_richness" "year" "grid" "quadra" "total_cover" "Host_community" "GPS_localisation" "Locality" "Country" "Ecosystem" "Collection_date" "Sequencing_plate" "Biomass" "Grid_code" "Vegetation" "Litter" "Soil" "Free_space"
"14" "20_CAM_040300" 3 5 "20" "04" "03" 94 "Juncus maritimus_3;Elytrigia sp._3;Brachypodium phoenicoides_87,5;Lysimachia arvensis_0,5" "43.476804010570049,4.663856970146298" "Arles" "France" "Mediterranean grassland" "2020-06-22" "20CAM-2_E04" 35.3 "20_CAM_04" 90 10 0 10
"15" "20_CAM_030200" 3 3 "20" "03" "02" 72.5 "Parapholis filiformis_62,5;Aeluropus littoralis_10" "43.477205000817776,4.664586028084159" "Arles" "France" "Parapholis-dominated salt grassland" "2020-06-22" "20CAM-2_E11" 5.95 "20_CAM_03" 70 15 15 30
"16" "20_CAM_040600" 5 8 "20" "04" "06" 74 "Juncus maritimus_20;Elytrigia sp._20;Brachypodium phoenicoides_20;Aristolochia rotunda_3;Iris reichenbachiana_10;Limonium narbonense_0,5;Ranunculus bulbosus_0,5" "43.476804010570049,4.663856970146298" "Arles" "France" "Mediterranean grassland" "2020-06-22" "20CAM-2_F02" 32.95 "20_CAM_04" 90 10 0 10
"17" "20_CAM_030700" 2 8 "20" "03" "07" 99.5 "Limonium narbonense_20;Parapholis filiformis_37,5;Bromus hordeaceus_0,5;Centaurium tenuiflorum subsp. acutiflorum_0,5;Bupleurum semicompositum_0,5;Elytrigia sp._37,5;Juncus gerardi_3" "43.477205000817776,4.664586028084159" "Arles" "France" "Parapholis-dominated salt grassland" "2020-06-22" "20CAM-2_G08" 6.93 "20_CAM_03" 80 15 5 20
"18" "20_CAM_030400" 1 6 "20" "03" "04" 67 "Parapholis filiformis_62,5;Bromus hordeaceus_0,5;Juncus gerardi_3;Trifolium squamosum_0,5;Lysimachia arvensis_0,5" "43.477205000817776,4.664586028084159" "Arles" "France" "Parapholis-dominated salt grassland" "2020-06-22" "20CAM-2_G10" 4.85 "20_CAM_03" 60 40 0 40
"19" "20_CAM_040200" 1 5 "20" "04" "02" 31 "Juncus maritimus_20;Elytrigia sp._10;Crepis pulchra_0,5;Polygonum aviculare_0,5" "43.476804010570049,4.663856970146298" "Arles" "France" "Mediterranean grassland" "2020-06-22" "20CAM-2_H05" 26.01 "20_CAM_04" 30 70 0 70
"20" "20_CAM_030100" 7 7 "20" "03" "01" 109.5 "Limonium narbonense_87,5;Parapholis filiformis_20;Bromus hordeaceus_0,5;Centaurium tenuiflorum subsp. acutiflorum_0,5;Bupleurum semicompositum_0,5;Melilotus indicus_0,5" "43.477205000817776,4.664586028084159" "Arles" "France" "Parapholis-dominated salt grassland" "2020-06-22" "20CAM-2_H12" 9.48 "20_CAM_03" 95 5 0 5
"21" "20_CAM_050300" 7 3 "20" "05" "03" 82.5 "Juncus maritimus_62,5;Brachypodium phoenicoides_20" "43.476521037518978,4.662497006356716" "Arles" "France" "Mediterranean grassland" "2020-06-23" "20CAM-3_A09" 54.84 "20_CAM_05" 90 10 0 10
"22" "20_CAM_050800" 2 4 "20" "05" "08" 100.5 "Juncus maritimus_0,5;Elytrigia sp._37,5;Halimione portulacoides_62,5" "43.476521037518978,4.662497006356716" "Arles" "France" "Mediterranean grassland" "2020-06-23" "20CAM-3_C06" 27.31 "20_CAM_05" 80 20 0 20
"23" "20_CAM_050500" 1 5 "20" "05" "05" 61 "Juncus maritimus_20;Elytrigia sp._37,5;Lysimachia arvensis_3;Centaurium tenuiflorum subsp. acutiflorum_0,5" "43.476521037518978,4.662497006356716" "Arles" "France" "Mediterranean grassland" "2020-06-23" "20CAM-3_C08" 22.66 "20_CAM_05" 60 40 0 40
