"Host_code" "Grid_code" "quadra_A" "quadra_B" "dist"
"94" "20_CAM_030400" "20_CAM_03" 4 5 7.77946013551069
"95" "20_CAM_030400" "20_CAM_03" 4 6 10.4651803615609
"96" "20_CAM_030400" "20_CAM_03" 4 7 7.77946013551069
"97" "20_CAM_030400" "20_CAM_03" 4 8 3.39411254969543
"98" "20_CAM_030400" "20_CAM_03" 4 9 6.92964645562817
"99" "20_CAM_030500" "20_CAM_03" 5 6 5
"100" "20_CAM_030500" "20_CAM_03" 5 7 7.07106781186548
"101" "20_CAM_030500" "20_CAM_03" 5 8 5
"102" "20_CAM_030500" "20_CAM_03" 5 9 3.53553390593274
"103" "20_CAM_030600" "20_CAM_03" 6 7 5
"104" "20_CAM_030600" "20_CAM_03" 6 8 7.07106781186548
"105" "20_CAM_030600" "20_CAM_03" 6 9 3.53553390593274
"106" "20_CAM_030700" "20_CAM_03" 7 8 5
"107" "20_CAM_030700" "20_CAM_03" 7 9 3.53553390593274
"108" "20_CAM_030800" "20_CAM_03" 8 9 3.53553390593274
"109" "20_CAM_040100" "20_CAM_04" 1 2 9.8
"110" "20_CAM_040100" "20_CAM_04" 1 3 13.8592929112563
"111" "20_CAM_040100" "20_CAM_04" 1 4 9.8
"112" "20_CAM_040100" "20_CAM_04" 1 5 3.39411254969543
"113" "20_CAM_040100" "20_CAM_04" 1 6 7.77946013551069
"114" "20_CAM_040100" "20_CAM_04" 1 7 10.4651803615609
"115" "20_CAM_040100" "20_CAM_04" 1 8 7.77946013551069
"116" "20_CAM_040100" "20_CAM_04" 1 9 6.92964645562817
"117" "20_CAM_040200" "20_CAM_04" 2 3 9.8
"118" "20_CAM_040200" "20_CAM_04" 2 4 13.8592929112563
"119" "20_CAM_040200" "20_CAM_04" 2 5 7.77946013551069
"120" "20_CAM_040200" "20_CAM_04" 2 6 3.39411254969543
"121" "20_CAM_040200" "20_CAM_04" 2 7 7.77946013551069
"122" "20_CAM_040200" "20_CAM_04" 2 8 10.4651803615609
"123" "20_CAM_040200" "20_CAM_04" 2 9 6.92964645562817
"124" "20_CAM_040300" "20_CAM_04" 3 4 9.8
"125" "20_CAM_040300" "20_CAM_04" 3 5 10.4651803615609
"126" "20_CAM_040300" "20_CAM_04" 3 6 7.77946013551069
"127" "20_CAM_040300" "20_CAM_04" 3 7 3.39411254969543
"128" "20_CAM_040300" "20_CAM_04" 3 8 7.77946013551069
"129" "20_CAM_040300" "20_CAM_04" 3 9 6.92964645562817
"130" "20_CAM_040400" "20_CAM_04" 4 5 7.77946013551069
"131" "20_CAM_040400" "20_CAM_04" 4 6 10.4651803615609
"132" "20_CAM_040400" "20_CAM_04" 4 7 7.77946013551069
"133" "20_CAM_040400" "20_CAM_04" 4 8 3.39411254969543
"134" "20_CAM_040400" "20_CAM_04" 4 9 6.92964645562817
"135" "20_CAM_040500" "20_CAM_04" 5 6 5
"136" "20_CAM_040500" "20_CAM_04" 5 7 7.07106781186548
"137" "20_CAM_040500" "20_CAM_04" 5 8 5
"138" "20_CAM_040500" "20_CAM_04" 5 9 3.53553390593274
"139" "20_CAM_040600" "20_CAM_04" 6 7 5
"140" "20_CAM_040600" "20_CAM_04" 6 8 7.07106781186548
"141" "20_CAM_040600" "20_CAM_04" 6 9 3.53553390593274
"142" "20_CAM_040700" "20_CAM_04" 7 8 5
"143" "20_CAM_040700" "20_CAM_04" 7 9 3.53553390593274
"144" "20_CAM_040800" "20_CAM_04" 8 9 3.53553390593274
"145" "20_CAM_050100" "20_CAM_05" 1 2 9.8
"146" "20_CAM_050100" "20_CAM_05" 1 3 13.8592929112563
"147" "20_CAM_050100" "20_CAM_05" 1 4 9.8
"148" "20_CAM_050100" "20_CAM_05" 1 5 3.39411254969543
"149" "20_CAM_050100" "20_CAM_05" 1 6 7.77946013551069
"150" "20_CAM_050100" "20_CAM_05" 1 7 10.4651803615609
"151" "20_CAM_050100" "20_CAM_05" 1 8 7.77946013551069
"152" "20_CAM_050100" "20_CAM_05" 1 9 6.92964645562817
"153" "20_CAM_050200" "20_CAM_05" 2 3 9.8
"154" "20_CAM_050200" "20_CAM_05" 2 4 13.8592929112563
"155" "20_CAM_050200" "20_CAM_05" 2 5 7.77946013551069
"156" "20_CAM_050200" "20_CAM_05" 2 6 3.39411254969543
"157" "20_CAM_050200" "20_CAM_05" 2 7 7.77946013551069
"158" "20_CAM_050200" "20_CAM_05" 2 8 10.4651803615609
"159" "20_CAM_050200" "20_CAM_05" 2 9 6.92964645562817
"160" "20_CAM_050300" "20_CAM_05" 3 4 9.8
"161" "20_CAM_050300" "20_CAM_05" 3 5 10.4651803615609
"162" "20_CAM_050300" "20_CAM_05" 3 6 7.77946013551069
"163" "20_CAM_050300" "20_CAM_05" 3 7 3.39411254969543
"164" "20_CAM_050300" "20_CAM_05" 3 8 7.77946013551069
"165" "20_CAM_050300" "20_CAM_05" 3 9 6.92964645562817
"166" "20_CAM_050400" "20_CAM_05" 4 5 7.77946013551069
"167" "20_CAM_050400" "20_CAM_05" 4 6 10.4651803615609
"168" "20_CAM_050400" "20_CAM_05" 4 7 7.77946013551069
"169" "20_CAM_050400" "20_CAM_05" 4 8 3.39411254969543
"170" "20_CAM_050400" "20_CAM_05" 4 9 6.92964645562817
"171" "20_CAM_050500" "20_CAM_05" 5 6 5
"172" "20_CAM_050500" "20_CAM_05" 5 7 7.07106781186548
"173" "20_CAM_050500" "20_CAM_05" 5 8 5
"174" "20_CAM_050500" "20_CAM_05" 5 9 3.53553390593274
"175" "20_CAM_050600" "20_CAM_05" 6 7 5
"176" "20_CAM_050600" "20_CAM_05" 6 8 7.07106781186548
